episode,success,steps,total_reward,final_exploration_rate,avg_cycle_time,max_steps_env
1,False,500,-70.8511079493047,0.6675088722869942,0.0013485477447509765,500
2,False,500,-68.53264541051085,0.4336256076950493,0.0013458266258239745,500
3,False,500,-68.04944284356927,0.34592974049749925,0.001327743911743164,500
4,False,500,-67.50347290348574,0.31549685041786507,0.0016356924057006836,500
5,False,500,-66.12746043837015,0.30670255695885906,0.0018321578025817871,500
6,False,500,-56.54235251578124,0.30240514744084995,0.0019121370315551757,500
7,False,500,-58.521094808657836,0.3003576366055629,0.0018715120315551759,500
8,False,500,-64.29506342668859,0.30032457424892667,0.0018279738426208497,500
9,False,500,-53.90674647662011,0.2999159366631357,0.0017805132865905762,500
10,False,500,-64.27253323658827,0.30003050752168103,0.0020303028106689455,500
11,False,500,-61.11776055667233,0.29997868089696744,0.0019522170066833496,500
12,False,500,-55.25743109688326,0.2998269315158143,0.001777906322479248,500
13,False,500,-66.70007324037428,0.30000057478393305,0.0022123968124389648,500
14,False,500,-59.974339677805936,0.2999819360927782,0.0017319968223571778,500
15,False,500,-60.447377000139085,0.2999905893715772,0.0017193801879882811,500
16,False,500,-64.15999066891303,0.2995197317919024,0.0016483087539672851,500
17,False,500,-73.28381215773533,0.2997684830992479,0.0017603724479675292,500
18,False,500,-61.56208058218846,0.2999386134310238,0.0019035747528076171,500
19,False,500,-62.35510104826747,0.29997071429265354,0.0018087059020996093,500
20,False,500,-65.93827359749318,0.29977830101318254,0.001801735496520996,500
21,False,500,-64.67865637346661,0.2998562545955456,0.001670841884613037,500
22,False,500,-62.51698941939913,0.2999718092171157,0.0016581293106079102,500
23,False,500,-58.036225330551545,0.29999578353396067,0.0017453635215759278,500
24,False,500,-58.34891152937384,0.29999159434130196,0.0019643035888671874,500
25,False,500,-58.41717364529652,0.29999663977049973,0.0017379368782043457,500
26,False,500,-59.5122819371016,0.29998409044444374,0.001898216724395752,500
27,False,500,-57.83450914500893,0.29999904979482506,0.0017305007934570312,500
28,False,500,-55.22698325638185,0.2999985665230626,0.0019027629852294923,500
29,False,500,-60.93172596199856,0.2999665354548339,0.0018271661758422853,500
30,False,500,-58.95430045928106,0.2999991359661179,0.0017592653274536134,500
31,False,500,-66.7754677199798,0.29999216482123,0.0017638083457946778,500
32,False,500,-57.20474390627547,0.29999979898941637,0.0017083236694335937,500
33,False,500,-55.97005051534324,0.29999972660611884,0.0016782136917114258,500
34,False,500,-54.681577405412185,0.29999993872162517,0.0017746271133422852,500
35,False,500,-59.447462733126436,0.2999998722818765,0.0016862053871154784,500
36,False,500,-59.14334922328476,0.2999995816423509,0.001665071964263916,500
37,False,500,-57.92419565533441,0.2999989446170276,0.0017350957870483398,500
38,False,500,-55.4675603109655,0.29999978978822245,0.001711672019958496,500
39,False,500,-59.099798398607454,0.2999980660250912,0.0017325030326843262,500
40,False,500,-60.887084204220045,0.2999998027806498,0.001911747646331787,500
41,False,500,-57.52661834244427,0.2999999847523355,0.0022355167388916014,500
