episode,success,steps,total_reward,final_exploration_rate
1,False,50,-14.033035387694287,0.753506616141182
2,True,19,5.598723654762762,0.6906292840423998
3,False,50,-11.330679758416917,0.5693381346067374
4,True,48,-0.6294281558058845,0.47307238604844415
5,True,16,7.782015113495537,0.4533652157731778
6,True,12,7.475603859742496,0.44158462861391823
7,True,18,5.303089424708273,0.419843401988263
8,False,50,-11.317458132203473,0.36784698458097165
9,False,50,-9.784832850522688,0.32587637901938027
10,True,46,-2.6295976813794493,0.29277304959631056
11,False,50,-7.933875349510843,0.26361354889677513
12,False,50,-8.32020865961937,0.23783406767280113
13,True,23,7.4933692647997,0.22682423944491956
14,True,37,-0.45842649941825186,0.20802242240598487
15,True,49,2.0488985964186597,0.18354216908713542
16,False,50,-9.791876004731932,0.15632043989509264
17,False,50,-8.99556510348687,0.13907144698697432
18,False,50,-8.947293365560066,0.12498222688713322
19,False,50,-7.1792049332791015,0.11276393853338669
20,False,50,-6.7887768836905735,0.10181010173644121
21,False,50,-7.936694030265802,0.09193155490299783
22,False,50,-10.075841975297518,0.08283349074700971
23,False,50,-7.198560681951205,0.07456878670334438
24,False,50,-5.668786432122941,0.06727568902337003
25,False,50,-12.466896015769558,0.06073704697549242
26,False,50,-7.235640896142285,0.05479751815942092
27,False,50,-7.910535827401561,0.05
28,False,50,-7.176076252135595,0.05
29,False,50,-10.195087811959732,0.05
30,False,50,-7.8690917018008415,0.05
31,False,50,-6.70879328752746,0.05
32,False,50,-6.778749578001936,0.05
33,False,50,-9.195826684775117,0.05
34,False,50,-7.555546676020455,0.05
35,False,50,-7.213955925924141,0.05
36,False,50,-6.706006608298176,0.05
37,False,50,-7.490652624076487,0.05
38,False,50,-7.242849391813179,0.05
39,False,50,-7.151742695466821,0.05
40,False,50,-6.77656972398906,0.05
41,False,50,-7.123077453308309,0.05
42,False,50,-7.645785868297693,0.05
43,False,50,-7.486833548258472,0.05
44,False,50,-6.7647103916804525,0.05
45,False,50,-7.173254666664538,0.05
46,False,50,-6.765274146436226,0.05
47,False,50,-7.100570995050333,0.05
48,False,50,-7.970101850119687,0.05
49,False,50,-6.793322889922498,0.05
50,False,50,-7.174702761365798,0.05
51,False,50,-7.497570142345871,0.05
52,False,50,-7.891900950846078,0.05
53,True,16,7.05975049586073,0.05
54,False,50,-8.331334731524537,0.05
55,True,49,-3.1390067058706226,0.05
56,True,28,-0.1270799107850138,0.05
57,True,31,-0.7882061953176418,0.05
58,True,36,-2.4088825459225234,0.05
59,False,50,-7.981864354505802,0.05
60,True,39,-3.0940531703158616,0.05
61,False,50,-17.568872036434822,0.05
62,False,50,-7.8906176478410925,0.05
63,False,50,-7.165127341089534,0.05
64,False,50,-7.173715095336203,0.05
65,False,50,-7.498577020610767,0.05
66,False,50,-7.24757513047993,0.05
67,False,50,-7.155322095989597,0.05
68,False,50,-6.777860023869344,0.05
69,False,50,-6.783332972614562,0.05
70,False,50,-7.518106842956064,0.05
71,False,50,-7.54469055039744,0.05
72,False,50,-7.537952157163737,0.05
73,False,50,-8.94689014725232,0.05
74,False,50,-9.080356476498112,0.05
