episode,success,steps,total_reward,final_exploration_rate
1,False,50,-8.460393885460908,1.4753038143277888
2,False,50,-11.941696361321224,1.451217530242334
3,False,50,-12.736666494068677,1.4277260855008076
4,False,50,-10.073955661713503,1.404814789840327
5,False,50,-10.100475130971468,1.3824693157914676
6,False,50,-10.511316937511587,1.360675689718653
7,False,50,-9.298369086854176,1.339420283081803
8,False,50,-10.293617550849865,1.318689803913795
9,False,50,-10.166548152445156,1.2984712885083942
10,False,50,-9.776236709943015,1.2787520933134615
11,False,50,-7.7798485862818385,1.2595198870243696
12,False,50,-9.140836068168493,1.2407626428726788
13,False,50,-8.183931768942486,1.2224686311052575
14,False,50,-9.00320436846881,1.2046264116491336
15,False,50,-8.192945391350557,1.1872248269575028
16,False,50,-12.556614737999777,1.1702529950324074
17,False,50,-7.7475172834794215,1.1537003026197312
18,False,50,-7.850790436806291,1.1375563985722539
19,False,50,-8.176974011698785,1.1218111873766077
20,False,50,-10.134681214175572,1.106454822840097
21,False,50,-7.737586676135114,1.0914777019334303
22,False,50,-11.837372697534567,1.0768704587855094
23,False,50,-8.616989872643336,1.0626239588265294
24,False,50,-10.938585565255867,1.048729293075715
25,False,50,-10.577373601859716,1.0351777725701359
26,False,50,-12.193318887531824,1.0219609229311035
27,False,50,-8.997487728541246,1.0090704790647584
28,False,50,-10.58992355479004,0.9964983799935336
29,False,50,-7.570123817802468,0.9842367638152614
30,False,50,-8.4126432257749,0.972277962786769
31,False,50,-8.355219252903131,0.9606144985288935
32,False,50,-11.083734987348524,0.9492390773499115
33,False,50,-10.235781629265269,0.9381445856844652
34,False,50,-10.60222628125785,0.9273240856451275
35,False,50,-12.247599383694537,0.9167708106838277
36,False,50,-8.96248497401022,0.906478161360422
37,False,50,-9.44404730584258,0.896439701215766
38,False,50,-9.253076001362391,0.8866491527467055
39,False,50,-7.377839140740219,0.8771003934804695
40,False,50,-8.196247535357251,0.867787452146012
41,False,50,-7.44613134703148,0.8587045049399047
42,False,50,-7.408271028134363,0.8498458718844502
43,False,50,-7.86144971896974,0.8412060132757353
44,False,50,-6.363620008588111,0.8327795262194029
45,False,50,-8.217021643887076,0.8245611412519779
46,False,50,-7.805615850865226,0.8165457190456343
47,False,50,-7.02712180176232,0.8087282471943398
48,False,50,-8.16681147744681,0.8011038370793724
49,False,50,-10.93514979667623,0.7936677208122451
50,False,50,-7.404788061617744,0.7864152482531308
51,False,50,-13.444069404508086,0.7793418841029192
52,False,50,-8.589571054932676,0.7724432050670882
53,False,50,-8.56338827189002,0.7657148970896189
54,False,50,-10.087199205149718,0.7591527526552211
55,False,50,-7.399136668330331,0.7527526681581832
56,False,50,-8.550792869826433,0.7465106413362019
57,False,50,-9.768693990296422,0.7404227687675873
58,False,50,-8.130922296632505,0.7344852434302759
59,False,50,-8.1528968064313,0.7286943523211281
60,False,50,-8.542296723440339,0.7230464741340195
61,False,50,-9.384420346737794,0.7175380769952736
62,False,50,-8.554342042216964,0.7121657162550226
63,False,50,-10.574682299595766,0.706926032333111
64,False,50,-9.363448835158607,0.7018157486181985
65,False,50,-7.434228698063919,0.6968316694187473
66,False,50,-9.024263708268533,0.6919706779646106
67,False,50,-9.849764657931214,0.6872297344579763
68,False,50,-7.772596627000668,0.6826058741724434
69,False,50,-9.776934675814339,0.6780962055990444
70,False,50,-7.0132865989534485,0.6736979086380541
71,False,50,-8.183855860489539,0.6694082328354539
72,False,50,-6.648898799949948,0.6652244956629483
73,False,50,-7.8087496180051055,0.6611440808404587
74,False,50,-7.767937636541762,0.6571644367000449
75,False,50,-7.383675380878818,0.653283074590232
76,False,50,-6.630068424909745,0.6494975673197442
77,False,50,-7.397504897401008,0.6458055476396719
78,False,50,-6.638208728412009,0.6422047067631241
79,False,50,-8.185853728585013,0.6386927929214397
80,False,50,-9.686525324347805,0.6352676099560542
81,False,50,-7.388968270656214,0.6319270159451433
82,False,50,-7.780629405332875,0.6286689218641814
83,False,50,-8.199235952902193,0.6254912902795805
84,False,50,-6.59996711892907,0.6223921340745907
85,False,50,-8.9969748873945,0.6193695152066665
86,False,50,-7.406219512684205,0.6164215434955208
87,False,50,-7.737728363268884,0.61354637544111
88,False,50,-8.952786737572172,0.6107422130708097
89,False,50,-6.606435399208928,0.6080073028150614
90,False,50,-7.797335754430706,0.6053399344107858
91,False,50,-7.763880586941321,0.6027384398318786
92,False,50,-5.955531419246397,0.6002011922461172
93,False,50,-8.98535376767917,0.5977266049978301
94,False,50,-9.00716706279676,0.5953131306156889
95,False,50,-8.147181217331255,0.5929592598450042
96,False,50,-7.386969983535694,0.5906635207039207
97,False,50,-7.805873268208636,0.5884244775629204
98,False,50,-9.29361945195046,0.5862407302470583
99,False,50,-7.423876619787864,0.5841109131603698
100,False,50,-8.141986726039997,0.5820336944319021
101,False,50,-6.999078629592528,0.5800077750828344
102,False,50,-7.419371828378514,0.5780318882141682
103,False,50,-7.38869140192005,0.5761047982144778
104,False,50,-8.606030761779222,0.5742252999872269
105,False,50,-7.0061370561639515,0.5723922181971668
106,False,50,-7.418873782391539,0.5706044065353464
107,False,50,-7.796852079766666,0.5688607470022733
108,False,50,-6.995999837943898,0.5671601492087779
109,False,50,-7.8669586153026625,0.5655015496941446
