episode,success,steps,total_reward,final_exploration_rate,avg_cycle_time,max_steps_env
1,False,500,-78.80127447914765,0.33688898318443417,0.0,500
2,False,500,-64.5063427861684,0.2606194506945775,0.0,500
3,False,500,-58.15830384881872,0.268851058501439,0.0,500
4,False,500,-69.18181895638199,0.24674864508124958,0.0,500
5,False,500,-57.41605047877826,0.261530777388992,0.0,500
6,False,500,-63.88896790616187,0.2682773436710769,0.0,500
7,False,500,-60.719810940352474,0.23332940955062348,0.0,500
8,False,500,-64.31558328319903,0.2661659886174446,0.0,500
9,False,500,-56.46943327002618,0.26291480676429085,0.0,500
10,False,500,-61.58773777398414,0.2558506578337454,0.0,500
11,False,500,-59.489898294952674,0.25910614431010787,0.0,500
12,False,500,-62.67147863506966,0.24634599685677624,0.0,500
13,False,500,-61.955713222804626,0.2707257866859507,0.0,500
14,False,500,-56.09053881138265,0.25834172964096125,0.0,500
15,False,500,-61.61788769806432,0.27539549767971044,0.0,500
16,False,500,-60.12094847368209,0.24021074175834656,0.0,500
17,False,500,-60.10043880896728,0.2724197804927826,0.0,500
18,False,500,-56.492848018328615,0.24758896231651306,0.0,500
19,False,500,-59.46817315476426,0.24667224287986755,0.0,500
20,False,500,-59.61693254466767,0.2728431075811386,0.0,500
21,False,500,-53.389968332659826,0.23405808210372925,0.0,500
22,False,500,-57.33029830579631,0.2597106248140335,0.0,500
23,False,500,-58.746712180845094,0.27595917880535126,0.0,500
24,False,500,-59.361690263454086,0.2743767648935318,0.0,500
25,False,500,-57.23921292844759,0.2565483897924423,0.0,500
26,False,500,-59.91612213139007,0.27284447848796844,0.0,500
27,False,500,-56.68601844557637,0.27498258650302887,0.0,500
28,False,500,-57.81569044270055,0.2759675532579422,0.0,500
29,False,500,-58.31827230564659,0.27203038334846497,0.0,500
30,False,500,-62.040247709839356,0.26660914719104767,0.0,500
31,False,500,-61.71122919503079,0.2655554413795471,0.0,500
32,False,500,-56.39609998608655,0.2567717432975769,0.0,500
33,False,500,-57.51700643985111,0.2340697944164276,0.0,500
34,False,500,-55.80722309703087,0.26172181963920593,0.0,500
35,False,500,-61.123532959835046,0.2682999074459076,0.0,500
36,False,500,-56.74131677328462,0.25902432203292847,0.0,500
37,False,500,-58.716417040397374,0.2627057433128357,0.0,500
38,False,500,-57.17207923094999,0.24822837114334106,0.0,500
39,False,500,-57.78771774608267,0.2665737122297287,0.0,500
40,False,500,-55.43578683451791,0.2699984014034271,0.0,500
41,True,394,-33.10123276808561,0.25535865128040314,0.0,500
42,False,500,-55.77730331996855,0.27167876064777374,0.0,500
43,False,500,-64.6062212609981,0.23385414481163025,0.0,500
44,True,370,-41.85652102304305,0.2753300070762634,0.0,500
45,False,500,-60.08217448977991,0.24638396501541138,0.0,500
46,False,500,-56.70232793893414,0.23375734686851501,0.0,500
47,False,500,-55.565628900528495,0.26115570962429047,0.0,500
48,False,500,-53.89564377831961,0.26831260323524475,0.0,500
49,False,500,-62.668426698053466,0.2727583795785904,0.0,500
50,False,500,-58.59063656676784,0.2683049887418747,0.0,500
51,False,500,-53.70199939546395,0.2519295960664749,0.0,500
52,True,366,-43.40718787147346,0.27118851244449615,0.0,500
53,False,500,-57.19212433923912,0.2643396109342575,0.0,500
54,True,422,-48.12864984797309,0.24289798736572266,0.0,500
55,False,500,-58.71233912879803,0.2575019747018814,0.0,500
56,False,500,-58.01167083130041,0.23333436250686646,0.0,500
57,False,500,-57.73732312344205,0.2614884376525879,0.0,500
58,False,500,-59.44424196596914,0.2682311087846756,0.0,500
59,False,500,-56.31715563031332,0.2599542587995529,0.0,500
60,False,500,-58.6305219549555,0.24195003509521484,0.0,500
61,True,334,-37.53944600941233,0.2736474871635437,0.0,500
62,False,500,-57.95297557213231,0.26712100207805634,0.0,500
63,False,500,-57.42525082045248,0.2609020471572876,0.0,500
