episode,success,steps,total_reward,final_exploration_rate,avg_cycle_time,max_steps_env
1,False,500,-69.04823188869479,0.4055147611442578,0.0,500
2,False,500,-65.10059206149619,0.3322238813700841,0.0,500
3,False,500,-58.61344994376305,0.2681217062656449,0.0,500
4,False,500,-61.976276877243514,0.30988656379195817,0.0,500
5,False,500,-67.95388633292933,0.33510491805690734,0.0,500
6,False,500,-62.774122795578535,0.3197021748230392,0.0,500
7,False,500,-61.15786450970851,0.34970241207976777,0.0,500
8,False,500,-62.770633217687895,0.29958777325680314,0.0,500
9,False,500,-58.184849464632386,0.2830792965103846,0.0,500
10,False,500,-60.789558608829104,0.27036499978416195,0.0,500
11,False,500,-61.045640154232565,0.3089218735705525,0.0,500
12,False,500,-59.04347213744872,0.3423545360566054,0.0,500
13,False,500,-57.794906919033615,0.31333285570145364,0.0,500
14,False,500,-56.893914871228866,0.28474397957325037,0.0,500
15,False,500,-58.175189555424375,0.2855502367019654,0.0,500
16,False,500,-58.733670151881505,0.2786767929792404,0.0,500
17,False,500,-57.96807018137843,0.32552629709243774,0.0,500
18,False,500,-58.451113429251784,0.27348147332668304,0.0,500
19,False,500,-60.55106018359771,0.3325774222612381,0.0,500
20,True,477,-45.90068915175281,0.3806409165263176,0.0,500
21,False,500,-56.23006728910637,0.33214351534843445,0.0,500
22,False,500,-60.08121620745608,0.2880043238401413,0.0,500
23,False,500,-56.842610172849774,0.30310046672821045,0.0,500
24,False,500,-57.51217025142812,0.2846212387084961,0.0,500
25,True,491,-57.22744810615978,0.3468399792909622,0.0,500
26,False,500,-58.1459752325287,0.28706419467926025,0.0,500
27,False,500,-56.48994126149384,0.32583312690258026,0.0,500
28,True,429,-50.41976786483594,0.30646559596061707,0.0,500
29,False,500,-68.56990058759774,0.29259347915649414,0.0,500
30,False,500,-62.625957646841215,0.32996656000614166,0.0,500
31,False,500,-61.22162912856453,0.3336847424507141,0.0,500
32,False,500,-56.5784454725203,0.33848315477371216,0.0,500
33,False,500,-59.69361071649499,0.32566407322883606,0.0,500
34,True,331,-35.18582674686948,0.3342849165201187,0.0,500
35,False,500,-60.14646844106015,0.3306169658899307,0.0,500
36,False,500,-60.375042794780214,0.30893293023109436,0.0,500
37,False,500,-60.86888883677575,0.280003622174263,0.0,500
38,False,500,-55.143701547551935,0.3141169548034668,0.0,500
39,False,500,-57.90227904677952,0.30708862841129303,0.0,500
40,False,500,-58.203193213464395,0.28808216750621796,0.0,500
41,False,500,-61.88474180728734,0.3375948667526245,0.0,500
42,False,500,-60.07963532820301,0.2880799472332001,0.0,500
43,False,500,-63.02810426282988,0.33046063780784607,0.0,500
44,False,500,-59.58699400535814,0.35460446774959564,0.0,500
45,False,500,-54.745584941842075,0.34832295775413513,0.0,500
46,False,500,-57.28968852474331,0.3315926790237427,0.0,500
47,False,500,-63.08458632791813,0.3236244320869446,0.0,500
48,False,500,-58.727570298369315,0.33396367728710175,0.0,500
49,True,433,-45.39561417797273,0.3152238726615906,0.0,500
50,False,500,-59.75479653968987,0.3184353709220886,0.0,500
51,False,500,-65.19287167490509,0.3121373802423477,0.0,500
52,False,500,-55.970209346451576,0.33679215610027313,0.0,500
53,True,347,-33.38569715476859,0.3805927708745003,0.0,500
54,True,481,-53.75276457128984,0.3070666044950485,0.0,500
55,False,500,-60.2236909015002,0.30708011984825134,0.0,500
56,True,358,-36.138553508320435,0.33997052907943726,0.0,500
57,False,500,-59.812530692187416,0.3427228480577469,0.0,500
58,False,500,-61.05768864443333,0.2747872769832611,0.0,500
59,False,500,-61.00081414767074,0.32676663994789124,0.0,500
60,False,500,-57.46141733568519,0.32807253301143646,0.0,500
61,False,500,-59.95432445004263,0.3338444381952286,0.0,500
62,False,500,-56.38236030553895,0.34986698627471924,0.0,500
63,True,496,-55.6647222079161,0.33711837232112885,0.0,500
64,False,500,-58.95068909060421,0.34148095548152924,0.0,500
65,False,500,-58.63466010872115,0.29393114149570465,0.0,500
66,False,500,-56.78929209345218,0.3354809582233429,0.0,500
67,False,500,-57.31432922129137,0.27781304717063904,0.0,500
68,False,500,-59.79486264956191,0.31489403545856476,0.0,500
69,False,500,-60.948927286672294,0.2939147651195526,0.0,500
70,False,500,-53.40423556125569,0.32882271707057953,0.0,500
71,False,500,-61.803741871546286,0.33640138804912567,0.0,500
72,False,500,-60.550625967975996,0.35105952620506287,0.0,500
73,False,500,-60.254736762779295,0.31437982618808746,0.0,500
74,False,500,-62.40645816763477,0.33631421625614166,0.0,500
75,False,500,-59.49604387918931,0.29900048673152924,0.0,500
76,False,500,-60.93232421760509,0.32544873654842377,0.0,500
77,False,500,-59.66533425640558,0.2714310586452484,0.0,500
78,False,500,-56.001469801177045,0.37016190588474274,0.0,500
79,False,500,-59.84383470301515,0.30654510855674744,0.0,500
80,False,500,-54.730753024199736,0.33931195735931396,0.0,500
81,False,500,-58.77791826480448,0.34520067274570465,0.0,500
82,False,500,-57.16496630330308,0.3166119158267975,0.0,500
83,False,500,-55.64546761650918,0.31318919360637665,0.0,500
84,False,500,-56.3360642673062,0.3063764274120331,0.0,500
85,True,424,-47.07857923727502,0.32360343635082245,0.0,500
86,False,500,-60.591829353554395,0.35755880177021027,0.0,500
87,False,500,-60.291318940528754,0.34573546051979065,0.0,500
88,False,500,-63.06139612277818,0.3007983863353729,0.0,500
89,True,382,-45.95353651585624,0.30310896039009094,0.0,500
90,True,497,-49.08317292442494,0.38062598556280136,0.0,500
91,False,500,-55.62700326680272,0.28606729209423065,0.0,500
92,True,245,-15.780954770042152,0.3805418387055397,0.0,500
93,False,500,-55.218348800210634,0.3237377852201462,0.0,500
94,False,500,-58.37076512736498,0.34439100325107574,0.0,500
95,False,500,-62.061299116060056,0.34843572974205017,0.0,500
96,True,453,-49.40564507821152,0.33350031077861786,0.0,500
97,False,500,-59.39217266316486,0.30822692811489105,0.0,500
98,False,500,-56.593492682739445,0.33356210589408875,0.0,500
99,False,500,-59.24943640845597,0.3101157695055008,0.0,500
100,False,500,-56.426836709409955,0.35273514688014984,0.0,500
101,False,500,-57.5163701143888,0.28014953434467316,0.0,500
102,False,500,-63.8203209479395,0.30814459919929504,0.0,500
103,False,500,-57.96661861561219,0.28706736862659454,0.0,500
104,True,453,-48.82769128998695,0.35757113993167877,0.0,500
105,False,500,-56.67369514024904,0.3576136529445648,0.0,500
106,True,424,-37.00751605990842,0.3791978061199188,0.0,500
107,False,500,-61.937247170493286,0.31630565226078033,0.0,500
108,False,500,-55.42871996183315,0.34335143864154816,0.0,500
109,False,500,-60.59083011683854,0.31746628880500793,0.0,500
110,True,297,-32.07230238564614,0.2864195555448532,0.0,500
111,False,500,-57.02140833204346,0.31411486864089966,0.0,500
112,False,500,-61.1971964816549,0.33062659204006195,0.0,500
113,False,500,-55.05977928764047,0.3304172456264496,0.0,500
114,False,500,-60.83609910460671,0.3160947114229202,0.0,500
115,False,500,-55.97486346715029,0.34272246062755585,0.0,500
116,False,500,-61.181755534641596,0.29391132295131683,0.0,500
117,False,500,-61.25408173387662,0.32260315120220184,0.0,500
118,False,500,-60.21365110853439,0.3126619905233383,0.0,500
119,False,500,-56.48472449130189,0.34708254039287567,0.0,500
120,False,500,-58.085127645479076,0.27857570350170135,0.0,500
121,False,500,-58.684595520879945,0.34632566571235657,0.0,500
122,False,500,-56.754896368907346,0.3030964732170105,0.0,500
