episode,success,steps,total_reward,final_exploration_rate
1,False,50,-14.474693327463989,0.7201008976411168
2,True,14,7.128509848782277,0.6660379558829695
3,False,50,-11.624521257851596,0.522833723934298
4,False,50,-10.918720961938039,0.4280700795450586
5,True,47,1.0784635064664663,0.38084635019225627
6,True,31,2.664335584727872,0.3442848399621937
7,True,35,3.858671059992745,0.31836222613814547
8,False,50,-9.251122133667979,0.28556157906533675
9,False,50,-9.651227034327267,0.2563703791399856
10,True,25,5.638140234212694,0.24338559737850782
11,False,50,-9.251379640592353,0.21920852049175532
12,False,50,-10.038311390265228,0.19720280434361187
13,False,50,-7.267853891265618,0.17802031133823848
14,False,50,-8.84970859823962,0.16023401176921553
15,False,50,-12.097704330063376,0.14412844328814753
16,False,50,-8.474425777937725,0.1302432934156127
17,False,50,-8.849222912249223,0.11773851744479748
18,False,50,-6.875925963170194,0.10644336950573273
19,False,50,-6.87584922109343,0.0957649212008742
20,False,50,-6.888581504755441,0.08661562422468803
21,False,50,-6.873953567833551,0.07834326376650101
22,False,50,-6.869951905010719,0.0708337505535624
23,False,50,-8.8575012631501,0.06407883397314751
24,False,50,-7.271967987299867,0.05797119826798195
25,False,50,-7.286051690986361,0.05244594159117158
26,False,50,-7.662107509697178,0.05
27,False,50,-8.461077954926774,0.05
28,False,50,-8.050489405066113,0.05
29,False,50,-13.968741022689194,0.05
30,False,50,-8.058020505627791,0.05
31,False,50,-9.706474475922949,0.05
32,False,50,-7.274666196915908,0.05
33,False,50,-5.371896360258313,0.05
34,False,50,-7.262259382788719,0.05
35,False,50,-9.253057841905203,0.05
36,False,50,-6.881597775661066,0.05
37,False,50,-7.663492483607644,0.05
38,False,50,-7.645283995979338,0.05
39,False,50,-7.271609695650482,0.05
40,False,50,-6.89573041973827,0.05
41,False,50,-6.876017723938331,0.05
42,False,50,-7.261034718668426,0.05
43,False,50,-6.878004176054959,0.05
44,False,50,-6.8728268279259845,0.05
45,False,50,-7.263585794696831,0.05
46,False,50,-6.879228069130663,0.05
47,False,50,-9.635307767968927,0.05
48,False,50,-8.063385777190497,0.05
49,False,50,-6.890740666200457,0.05
50,False,50,-6.876147678289582,0.05
51,True,30,5.533783167744459,0.05
52,True,27,-0.0949341024313437,0.05
53,False,50,-5.3928848557519515,0.05
54,True,25,0.8967083076460458,0.05
55,True,26,0.40143342262649995,0.05
56,True,31,-1.2834699155845293,0.05
57,False,50,-7.630578164468407,0.05
58,False,50,-6.815747904060769,0.05
59,False,50,-7.265694239953296,0.05
60,False,50,-7.267823560932215,0.05
61,False,50,-7.293406316758742,0.05
62,False,50,-6.881764555094696,0.05
63,False,50,-7.276342254166838,0.05
64,False,50,-6.875280149967024,0.05
65,False,50,-7.279395918665799,0.05
66,False,50,-7.269263175561319,0.05
67,False,50,-7.673460563600351,0.05
68,False,50,-6.877449294777225,0.05
69,False,50,-7.671880896405387,0.05
70,False,50,-7.6706635030777495,0.05
71,False,50,-6.874303747625435,0.05
72,False,50,-6.879695292770603,0.05
73,False,50,-6.870062640546344,0.05
74,False,50,-8.058736133224892,0.05
75,False,50,-7.293231540573574,0.05
76,False,50,-7.270579066092788,0.05
77,False,50,-8.083664157871192,0.05
78,False,50,-7.268500210398686,0.05
79,False,50,-8.050442238701486,0.05
80,False,50,-6.863007416102409,0.05
81,False,50,-6.872640728710872,0.05
82,False,50,-7.27478144386086,0.05
83,False,50,-8.063228891976697,0.05
84,False,50,-6.864203812355021,0.05
85,True,23,6.636885504079782,0.05
86,False,50,-14.732194288283274,0.05
87,False,50,-7.650511076318578,0.05
88,False,50,-7.67852061266951,0.05
89,False,50,-7.273813019968225,0.05
90,False,50,-7.267393203051373,0.05
91,False,50,-6.861834576083836,0.05
92,False,50,-7.6790365078318095,0.05
93,False,50,-8.488362538734956,0.05
94,False,50,-7.676833255529756,0.05
95,False,50,-6.879107712712511,0.05
96,False,50,-9.210343840274021,0.05
97,False,50,-7.669320041850469,0.05
98,False,50,-6.880029797928575,0.05
99,False,50,-6.879924259062836,0.05
100,False,50,-6.879884307891328,0.05
101,False,50,-7.290627706153224,0.05
102,False,50,-10.829628283253095,0.05
103,False,50,-7.654035225639054,0.05
104,False,50,-10.81994890483316,0.05
105,False,50,-9.236758596166416,0.05
106,False,50,-7.623223897142456,0.05
107,False,50,-7.678527130219991,0.05
108,False,50,-7.268996666813033,0.05
109,False,50,-7.641432430943233,0.05
110,False,50,-7.6503879241945745,0.05
111,False,50,-6.874270746836694,0.05
112,False,50,-6.875120602166401,0.05
113,False,50,-7.666641945048626,0.05
114,False,50,-7.654278153796321,0.05
115,False,50,-7.262074174741039,0.05
116,False,50,-8.032474115954418,0.05
117,False,50,-8.456687251377796,0.05
118,False,50,-6.8808009057267165,0.05
119,False,50,-7.662082871274263,0.05
120,False,50,-8.050364685805153,0.05
121,False,50,-6.880305813934243,0.05
122,False,50,-6.869618393748484,0.05
123,False,50,-10.045773934779957,0.05
124,False,50,-7.273821424256255,0.05
125,False,50,-6.880888143140915,0.05
126,False,50,-6.880975612531355,0.05
127,False,50,-8.844898118794012,0.05
128,False,50,-7.261106096962985,0.05
129,False,50,-7.676503346530304,0.05
130,False,50,-8.066748497906778,0.05
131,False,50,-8.470787286580215,0.05
132,False,50,-7.275222279159525,0.05
133,False,50,-6.880947227094808,0.05
134,False,50,-7.67298878703467,0.05
135,False,50,-7.270090837398715,0.05
136,False,50,-7.673963974775634,0.05
137,False,50,-6.878393744123409,0.05
138,False,50,-6.880190891291119,0.05
139,False,50,-7.67020975108084,0.05
140,False,50,-7.277752671210506,0.05
141,False,50,-8.066172118576096,0.05
142,False,50,-10.038151095449026,0.05
143,False,50,-6.88228726206898,0.05
144,False,50,-7.277007134852325,0.05
145,False,50,-7.7405204388772955,0.05
146,False,50,-7.285111602799836,0.05
147,False,50,-8.069745937619729,0.05
148,False,50,-6.879892379200811,0.05
149,False,50,-6.173693538221342,0.05
150,False,50,-7.665808425420407,0.05
151,False,50,-6.8801371149371215,0.05
152,False,50,-6.880546382722724,0.05
153,False,50,-7.27653419898094,0.05
154,False,50,-6.878566773070709,0.05
155,False,50,-7.274200493167299,0.05
156,False,50,-7.268101803215049,0.05
157,False,50,-8.081957452151663,0.05
158,False,50,-6.881873074005021,0.05
159,False,50,-7.277307190958145,0.05
160,False,50,-6.880872352883609,0.05
161,False,50,-6.878257397015581,0.05
162,False,50,-6.87833085144839,0.05
163,False,50,-8.0643360843364,0.05
164,False,50,-7.662739477396842,0.05
165,False,50,-8.466211243324885,0.05
166,False,50,-8.082672778562705,0.05
167,False,50,-7.2794918756841,0.05
168,False,50,-6.817806547356044,0.05
169,False,50,-6.873758051305566,0.05
170,False,50,-9.245015795100432,0.05
171,False,50,-6.874701376727991,0.05
172,False,50,-8.06461010167413,0.05
173,False,50,-8.88252918666375,0.05
174,False,50,-6.863652040685565,0.05
175,False,50,-6.879774121187413,0.05
176,False,50,-7.272531203954801,0.05
177,False,50,-6.86797739340917,0.05
178,False,50,-7.269252639002646,0.05
179,False,50,-8.05348270198147,0.05
180,False,50,-13.576332119959101,0.05
181,False,50,-6.9088686374474175,0.05
182,True,40,4.572218540881266,0.05
183,False,50,-7.66984616718506,0.05
184,False,50,-7.295996324108154,0.05
185,True,22,7.172683676972248,0.05
186,True,4,9.710423207063151,0.05
187,True,44,-2.9128148905309974,0.05
188,True,23,5.142677179709302,0.05
189,True,4,9.70922970783584,0.05
190,True,21,1.299976821669107,0.05
191,True,49,-5.36225586940488,0.05
192,True,12,7.352933727724543,0.05
193,True,6,8.729075338286604,0.05
194,False,50,-9.234579890302886,0.05
195,False,50,-10.485411583049947,0.05
196,False,50,-7.218182025564733,0.05
197,False,50,-8.00026840262011,0.05
198,False,50,-9.194422219119527,0.05
199,False,50,-8.432251963080676,0.05
200,False,50,-6.862292452192242,0.05
201,False,50,-8.844187338023382,0.05
202,False,50,-8.4208643191924,0.05
203,False,50,-6.135173002234212,0.05
204,False,50,-9.6201578322101,0.05
205,False,50,-8.86797404975215,0.05
206,False,50,-12.080780603442609,0.05
207,False,50,-16.323379658669445,0.05
208,False,50,-8.832265768853574,0.05
209,False,50,-8.425530857090372,0.05
210,True,28,3.3915241856759026,0.05
211,True,20,1.794263963983724,0.05
212,True,25,0.11488036260864831,0.05
213,True,33,-0.6478646073998107,0.05
214,False,50,-8.848184357535427,0.05
215,True,35,3.087944317303429,0.05
216,False,50,-7.280645515909401,0.05
217,False,50,-6.878944038705282,0.05
218,True,27,-0.10567264063741888,0.05
219,False,50,-8.921871171390041,0.05
220,False,50,-14.414738830665518,0.05
221,False,50,-14.036733211281312,0.05
222,False,50,-10.814557114078257,0.05
223,False,50,-6.878308193589949,0.05
224,False,50,-6.877890720723579,0.05
225,False,50,-8.829564091221881,0.05
226,True,35,4.652655281564476,0.05
227,False,50,-14.438540408244899,0.05
228,False,50,-8.448935820519484,0.05
229,False,50,-7.3322068563185265,0.05
230,False,50,-14.387552372904464,0.05
231,False,50,-9.665566934687655,0.05
232,False,50,-7.66817814681726,0.05
233,False,50,-8.454860543726364,0.05
234,True,16,6.97661556652381,0.05
235,False,50,-10.497553208131883,0.05
236,False,50,-8.84678195681833,0.05
237,False,50,-8.050464071507022,0.05
238,False,50,-9.638227765155332,0.05
239,False,50,-9.247142505703495,0.05
240,False,50,-6.880090159617538,0.05
241,True,7,9.016225098985762,0.05
242,True,24,0.6074118488364189,0.05
243,False,50,-7.664541754076828,0.05
244,False,50,-6.876678604870328,0.05
245,False,50,-8.46425130193031,0.05
246,False,50,-6.868207233067175,0.05
247,False,50,-7.265522289519486,0.05
248,False,50,-8.852407422530732,0.05
249,False,50,-9.603999951400786,0.05
250,False,50,-9.20805492860871,0.05
251,True,49,-3.8401218888148545,0.05
252,False,50,-10.806157653409391,0.05
253,True,31,1.1082408254715546,0.05
254,False,50,-10.90130793739547,0.05
255,False,50,-11.958827101785287,0.05
256,True,34,-3.5424970879335866,0.05
257,False,50,-14.440186598906918,0.05
258,False,50,-10.016146637843372,0.05
259,False,50,-7.645934775107622,0.05
260,False,50,-6.87570716337839,0.05
261,False,50,-7.273542532099052,0.05
262,False,50,-8.449950362391629,0.05
263,False,50,-7.6696951265743465,0.05
264,False,50,-7.276934347325372,0.05
265,False,50,-8.0529577480182,0.05
266,False,50,-7.2669946835425385,0.05
267,False,50,-6.145464717981092,0.05
268,False,50,-9.638569852816474,0.05
269,False,50,-9.231084088540284,0.05
270,True,10,8.317394965089658,0.05
271,True,47,-2.068158505242895,0.05
272,False,50,-10.423995695364528,0.05
273,False,50,-9.248894106412491,0.05
274,True,46,-1.5771435751921103,0.05
275,False,50,-9.706631885474659,0.05
276,False,50,-10.039814619690198,0.05
277,False,50,-11.984524266755805,0.05
278,False,50,-7.6640315086592175,0.05
279,False,50,-9.250361875249657,0.05
280,False,50,-8.459504532557801,0.05
281,False,50,-7.27664277383467,0.05
282,False,50,-7.277544818066234,0.05
283,False,50,-7.276912237518876,0.05
284,False,50,-6.880219060044337,0.05
285,False,50,-8.944853512946073,0.05
286,False,50,-8.05859940471512,0.05
287,True,18,6.730725681880265,0.05
288,False,50,-6.886988928507999,0.05
289,False,50,-6.880338295534084,0.05
290,False,50,-6.870203990691572,0.05
291,False,50,-7.269713550820909,0.05
292,False,50,-7.646743165788765,0.05
293,True,22,0.8075339827826689,0.05
294,False,50,-9.627942976144388,0.05
295,False,50,-7.658588312818878,0.05
296,False,50,-6.864610159177334,0.05
297,False,50,-7.64555564058299,0.05
298,False,50,-5.336119831544427,0.05
299,False,50,-6.861254164653055,0.05
300,False,50,-7.657462902736258,0.05
301,False,50,-6.878386709406733,0.05
302,False,50,-12.791642674798442,0.05
303,False,50,-10.809101442855905,0.05
304,False,50,-8.028159866543444,0.05
305,False,50,-10.023412960042092,0.05
306,True,42,-2.7547693100992454,0.05
307,False,50,-8.815927111343782,0.05
308,False,50,-9.229796299791973,0.05
309,False,50,-13.946275076474457,0.05
310,False,50,-8.037118232249703,0.05
311,False,50,-7.64993300017562,0.05
312,True,10,9.119272659859604,0.05
313,False,50,-14.759557924234425,0.05
314,True,14,7.132345911874609,0.05
315,False,50,-13.197599161021484,0.05
316,False,50,-8.853585330919707,0.05
317,False,50,-10.043311550009237,0.05
318,False,50,-10.82419680723068,0.05
319,False,50,-8.844856019380186,0.05
320,True,32,3.7471341280699058,0.05
321,True,38,-3.1739965442900484,0.05
322,True,28,-0.5920462240521438,0.05
323,True,31,-2.081880383603023,0.05
324,False,50,-8.467776434424318,0.05
325,False,50,-7.672379767724505,0.05
326,False,50,-6.874565688712784,0.05
327,False,50,-7.267677369646002,0.05
328,False,50,-8.068995422693751,0.05
329,False,50,-9.253302292466726,0.05
330,False,50,-9.653673182384349,0.05
331,False,50,-8.861760475841091,0.05
332,False,50,-7.670969704976501,0.05
333,False,50,-6.87441307929692,0.05
334,False,50,-10.835113022575097,0.05
335,False,50,-7.270334502143771,0.05
336,False,50,-8.856489850438319,0.05
337,False,50,-9.254003107659894,0.05
