episode,avg_reward,success_rate,agent_rewards,agent_success,run_id
0,3.4675925139176718,0.0,[3.4675925139176718],[False],0
1,12.100000349999977,0.0,[12.100000349999977],[False],0
2,23.59999999999998,0.0,[23.59999999999998],[False],0
3,29.19999999999996,0.0,[29.19999999999996],[False],0
4,19.800000099999984,0.0,[19.800000099999984],[False],0
