episode,success,steps,total_reward,final_exploration_rate,avg_cycle_time,max_steps_env
1,False,500,-70.18942516027835,0.46606105233622214,0.001706654453277588,500
2,False,500,-54.22215325404679,0.23467516893482834,0.0014027788162231446,500
3,False,500,-53.381723579731485,0.14946109020396278,0.001431397819519043,500
4,False,500,-52.77210849542038,0.11806863387714481,0.0013945585250854492,500
5,False,500,-51.90626793994551,0.10668229493671466,0.0013008010864257813,500
6,False,500,-56.738505513425274,0.10246386946260394,0.0013490198135375977,500
7,True,450,-40.95009825685,0.10100084641172433,0.0013720992411870778,500
8,False,500,-53.243112152193426,0.1003631661500396,0.001316823959350586,500
9,False,500,-50.873768282877144,0.10013415676222809,0.0013324475288391112,500
10,False,500,-52.26655716406423,0.1000493888343183,0.001413310146331787,500
11,False,500,-52.09095344827307,0.10001672692942892,0.0013380539894104005,500
12,False,500,-56.66165997112628,0.10000670310448238,0.001365071678161621,500
13,False,500,-52.08605558222205,0.10000245576307769,0.0014291851043701173,500
14,False,500,-61.715180602374424,0.10000087569210872,0.0013009117126464844,500
15,False,500,-52.004423049617266,0.10000032807079909,0.0013389779090881347,500
16,False,500,-55.16261702508626,0.10000010753690958,0.0013136149406433105,500
17,False,500,-58.3321925040898,0.10000004397594747,0.001374109172821045,500
18,False,500,-55.6480063872595,0.10000001553118601,0.0013040733337402344,500
19,False,500,-51.83648421341733,0.10000000475150762,0.0014211488723754884,500
20,False,500,-52.17751632621136,0.09999998515848676,0.0013230806350708008,500
21,False,500,-59.432704356557466,0.09999881825261678,0.0013140366554260253,500
22,True,309,-32.55150011261085,0.09999906314138943,0.001307770503763242,500
23,False,500,-50.87902527347188,0.09999998363629001,0.0013941131591796874,500
24,False,500,-53.24331735441083,0.09999992714194265,0.0013048460006713867,500
25,False,500,-53.22609060709853,0.099999121128919,0.0015262368202209472,500
26,False,500,-51.986169499273934,0.09999966585889251,0.001452006721496582,500
27,False,500,-54.42061207232637,0.09999997915558734,0.0014412829399108886,500
28,True,420,-44.18642739447584,0.0999999460489329,0.0013976458312784735,500
29,False,500,-50.752207153126164,0.09999936729342752,0.0013160144805908203,500
30,False,500,-51.65432936680163,0.09999990492080074,0.0013042851448059082,500
31,False,500,-55.58933070129656,0.09999927897808428,0.001302795696258545,500
32,False,500,-51.48881356855131,0.09999964403850813,0.0013294301033020019,500
33,False,500,-55.93308810999253,0.09999868599917085,0.0014075791358947754,500
34,False,500,-54.94690879494021,0.09999845937946109,0.001435790252685547,500
35,False,500,-54.738341607617706,0.09999999760923428,0.0013389897346496582,500
36,False,500,-50.7283096014055,0.09999979032679719,0.0013015135765075683,500
37,False,500,-51.157753871010854,0.0999999865603799,0.0013102019309997558,500
38,False,500,-56.34070796899851,0.09999999135513994,0.0013678954124450684,500
39,True,380,-38.7531775421262,0.0999999922161344,0.001339491070289873,500
40,False,500,-53.70879707455925,0.09999999977631598,0.0013351531028747558,500
41,False,500,-52.896369385806025,0.09999996975927275,0.001326301097869873,500
42,False,500,-51.312184937241085,0.09999996135990444,0.0013579325675964356,500
43,True,388,-31.883493051684773,0.09999999501221205,0.0014059149529323104,500
44,False,500,-53.30049005774103,0.09999999956693136,0.0013996472358703614,500
45,False,500,-55.3864415909726,0.0999999999451525,0.0014017248153686524,500
46,True,317,-35.08742763531972,0.0999999997647296,0.001322951087758755,500
47,False,500,-51.99516281322054,0.09999999008742791,0.0013772868156433106,500
48,False,500,-51.630972941673086,0.09999999954365149,0.0014289725303649901,500
49,False,500,-55.02817343419634,0.09999997917579294,0.0013173378944396972,500
50,True,465,-53.82038097622263,0.09999995746690332,0.0013204925387674399,500
51,False,500,-52.2975835009729,0.09999999888336167,0.0013514530181884766,500
52,True,370,-35.9096513809301,0.0999999991215188,0.0013601296133809275,500
53,False,500,-50.28861981954292,0.09999999770966764,0.00137548828125,500
54,False,500,-56.05893722488025,0.09999999985658012,0.0015369181632995605,500
55,False,500,-51.21498021760556,0.09999999854938438,0.0013798298835754395,500
56,False,500,-48.42553772114896,0.09999999937185439,0.001493819046020508,500
57,False,500,-54.83251345484331,0.09999999997732448,0.0013773704528808593,500
58,False,500,-49.124278982348386,0.0999999993430524,0.0014029562950134277,500
59,False,500,-56.32840833205882,0.09999999969469256,0.001354435157775879,500
60,False,500,-49.64464286080919,0.09999999396880455,0.0013502679824829102,500
61,False,500,-53.10497134352559,0.09999999945138233,0.0014432242393493653,500
62,False,500,-50.68756213147934,0.09999999990085073,0.00138405179977417,500
63,False,500,-53.13945191285193,0.0999999999403407,0.0015288272857666015,500
64,False,500,-56.198274783969666,0.09999999991033244,0.0013949593544006348,500
65,True,313,-31.12024728212995,0.09999999998606662,0.0014889428008075865,500
66,True,425,-44.7061963201973,0.09999999970315993,0.001484953712014591,500
67,False,500,-53.26975803516434,0.09999999984764073,0.0015158637046813965,500
68,True,434,-45.64856702031497,0.09999999988466741,0.0013716884778358245,500
69,True,435,-46.238933460500924,0.09999999406721152,0.0013683229383242273,500
70,False,500,-52.91976663581523,0.09999999999987091,0.0013832853317260743,500
71,True,469,-49.62034635396307,0.09999999980120833,0.0014198342874360238,500
72,True,500,-54.54510128168234,0.09999999999627629,0.0014108710521884304,500
73,False,500,-52.00446214016279,0.0999999999998461,0.0014976881980895997,500
74,False,500,-49.61622891175947,0.09999999992668596,0.0013953488349914551,500
75,False,500,-53.03971415302627,0.0999999999997527,0.0013800087928771973,500
76,False,500,-51.83583745958898,0.0999999999886988,0.0013845863342285157,500
77,False,500,-52.620730795259405,0.09999999949348669,0.0013553019523620605,500
78,False,500,-55.54040343312032,0.09999999995151095,0.0013515925407409667,500
79,False,500,-52.89120420721304,0.09999999680919203,0.0013560891151428224,500
80,False,500,-51.90947456463218,0.09999999999996512,0.0013558701515197754,500
81,False,500,-52.31953087819069,0.09999999998909952,0.0013708792686462402,500
82,False,500,-50.97123595490996,0.09999999996840764,0.0013471227645874024,500
83,False,500,-52.83239459525826,0.0999999999998744,0.0013799586296081544,500
84,False,500,-56.0881516626403,0.09999999998963574,0.0013616869926452637,500
85,True,428,-44.39595144299944,0.0999999999996762,0.001347048683148653,500
86,False,500,-51.3770372735782,0.09999999998629767,0.0013549504280090331,500
87,True,405,-42.47734029426704,0.09999999999403124,0.0014444246070548796,500
88,False,500,-53.52834262729815,0.09999999999998829,0.0013701557159423827,500
89,False,500,-52.34111038101851,0.09999999999995984,0.001408139419555664,500
90,False,500,-49.87555534894742,0.0999999999352092,0.0014540264129638673,500
91,True,271,-27.81396561589208,0.0999999999999006,0.0014159535023451203,500
92,False,500,-50.675428642945946,0.09999999999565765,0.0014174973487854003,500
93,False,500,-54.01046283841641,0.09999999998632803,0.0014512758255004882,500
94,False,500,-49.37727299494365,0.09999999999134662,0.0014818177223205567,500
95,False,500,-54.69024738880696,0.09999999996903512,0.0013551353454589843,500
96,False,500,-53.31882225928528,0.09999999885755484,0.0014273286819458009,500
97,False,500,-52.81925972570978,0.09999999999764254,0.0014219317436218262,500
98,False,500,-49.77509373913497,0.09999999998190166,0.0013892857551574707,500
99,False,500,-48.57934266494684,0.09999999999063497,0.0014710281372070312,500
100,True,257,-26.88167326504025,0.09999999991706315,0.0013657728335042826,500
101,False,500,-57.6042011556004,0.09999999999215449,0.001426204490661621,500
102,False,500,-53.64667850298219,0.09999999997001488,0.0013801054000854493,500
103,False,500,-49.75525249371529,0.09999999999657438,0.001399000358581543,500
104,True,392,-39.68211095556956,0.09999999999375853,0.0013494737545243322,500
105,False,500,-55.850511326545856,0.09999999976634177,0.001374960994720459,500
106,False,500,-52.94026052958547,0.0999999999970248,0.0013741662979125976,500
107,True,447,-45.179503968003154,0.09999999999768766,0.0013572925094207983,500
108,False,500,-52.58697990643121,0.09999999992464816,0.0013485454559326172,500
109,False,500,-52.86660489053504,0.0999999999985374,0.0013443559646606445,500
110,True,464,-48.47145662722724,0.09999999999999973,0.001359238809552686,500
